id cliente,nombre,apellido1,apellido2,telefono,edad,sexo,estado salud,ingresos,deporte,educacion,altura,peso,lugar_comida,tipo_comida,alcohol,tabaco,horas_sueño,ocupacion
1,Alejandro,García,Navarro,631 456 789,9,hombre,Malo,Bajo,Sí,Secundaria,158,190,restaurante,Tradicional,1,0,9,sedentaria
2,Mariana,Rodríguez,Reyes,55 1234 5678,22,mujer,Normal,Medio,No,Primaria,162,139,trabajo,Pizza,1,0,10,sedentaria
3,Carlos,Martínez,Romero,213 987 6543,25,hombre,Excelente,Alto,Sí,Universitaria,175,121,restaurante,Vegetariana,1,1,6,activo
4,Sofía,López,Vargas,7911 123456,27,mujer,Normal,Bajo,No,Postgrado,178,135,trabajo,Pizza,0,1,11,activo
5,David,Hernández,Domínguez,176 5432 1098,30,,,Medio,Sí,Secundaria,152,74,casa,Hamburguesa,1,1,7,estresante
6,Valeria,Pérez,Silva,6 12 34 56 78,32,,Malo,Bajo,No,Primaria,165,136,casa,Arabe,1,0,7,sedentaria
7,Juan,González,Serrano,412 345 678,35,hombre,Normal,Alto,Sí,Universitaria,152,109,trabajo,China,1,0,7,activo
8,Gabriela,Sánchez,Paredes,678 901 234,37,mujer,Excelente,Medio,No,Secundaria,192,147,restaurante,Vegetariana,1,1,9,activo
9,Fernando,Ramírez,Méndez,81 2345 6789,40,hombre,Normal,Bajo,Sí,Postgrado,189,175,casa,Tradicional,0,0,11,activo
10,Isabel,Torres,Castro,917 765 4321,43,mujer,Malo,Medio,,Primaria,173,109,trabajo,Italiana,1,1,10,estresante
11,Luis,Flores,Rojas,7812 987654,46,hombre,,Alto,Sí,Universitaria,191,110,trabajo,Tradicional,1,0,9,activo
12,Camila,Cruz,Peña,622 111 222,48,mujer,Malo,Bajo,No,Secundaria,186,171,trabajo,Pizza,1,0,8,estresante
13,Ricardo,Rivera,Acosta,151 234 56789,51,hombre,Excelente,,Sí,Primaria,185,78,trabajo,China,0,1,12,activo
14,Daniela,Morales,Montes,7 89 01 23 45,54,mujer,Malo,Bajo,No,Postgrado,163,51,trabajo,Tradicional,0,0,11,estresante
15,Pablo,Ortiz,Figueroa,33 3456 7890,56,hombre,Normal,Alto,Sí,Universitaria,220,95,casa,Vegetariana,1,1,18,estresante
16,Lucía,Castillo,Vega,612 345 678,58,mujer,Malo,Medio,No,,166,147,casa,Hamburguesa,0,1,11,estresante
17,Miguel,Ramos,Salinas,415 987 1234,61,hombre,Malo,Bajo,Sí,Primaria,181,150,restaurante,Italiana,0,0,10,sedentaria
18,Andrea,Gutiérrez,Esquivel,7423 876543,63,mujer,,Alto,No,Postgrado,193,143,trabajo,Tradicional,1,0,20,sedentaria
19,José,Jiménez,Lara,490 765 432,64,,Excelente,Medio,Sí,Universitaria,156,126,casa,China,1,1,10,sedentaria
20,Patricia,Mendoza,Ponce,55 5678 1234,65,mujer,Malo,Bajo,No,Secundaria,152,50,casa,Hamburguesa,0,0,11,estresante
21,Roberto,de todos los santos,gutierrez,620 888 888,40,,Malo,Alto,Sí,Primaria,175,134,trabajo,Tradicional,1,1,10,estresante
22,Ricardo,Rivera,Acosta,151 234 56789,51,hombre,Normal,Medio,No,Postgrado,159,127,casa,Pizza,1,0,9,estresante
23,Alejandro,García,Navarro,631 456 789,9,hombre,Malo,Bajo,Sí,Universitaria,153,147,restaurante,China,0,0,9,estresante
24,Mariana,Rodríguez,Reyes,55 1234 5678,22,mujer,Excelente,Medio,No,Secundaria,188,195,trabajo,Pizza,1,1,10,sedentaria
25,Carlos,Martínez,Romero,213 987 6543,25,hombre,Malo,,Sí,Primaria,155,186,casa,China,1,1,9,sedentaria
